Company Name,Name,Address,Phone Number,Email Address,Products Available
AC Enterprises,Mr. P Srinivasa Rao,"H no.1-0-630/1, 5C, Ramnagargundu, Vidyanagar, Hyderabad, Andhra Pradesh - 500044",9908230641,acenterprises181@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Air 'n' Gas Controls,"Mr. Mohd. Yaseen Baba, Mr. Mohd. Khaja Moiddin","No.3-168, Sujatha Nagar Tada Post Tada, Sripotti Srimalu, Nellore, Andhra Pradesh - 524401",,airngas@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Air control systems,,"D.No. 43-14-12, Near Municipal High School,,, Railway New Colony, Visakhapatnam, Andhra Pradesh - 530016",,aircontrols100tada@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Air N Gas Controls,"Mr.Md. Yaseen Baba, Mr.Mohd. Khaja Mohiddin","8-5-189, Street No.5, Mallikarjuna Colony,, Old Bowenpally, Secunderabad, Andhra Pradesh -",,airngas@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Aircare Engineering & Systems,D Hari Shankar,"11-11-112/2, Plot No.54, Indira Nagar, Kothapeta,, Banjara Hills, Hyderabad, Andhra Pradesh -",9848327106,aircare.enggsystems@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Airtronics,G Pavan Kumar Reddy,"Near Telephone Exchange, Lakdi-Ka-Pool,,, Lakdi Ka Pool, Hyderabad, Andhra Pradesh - 500004",9848327106,airtronics2007@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Airwell Enterprises,Nagendra Prasad J,"Shop no.1-134, Opp. Lane Shobhana Talkies,, Balanagar, Hyderabad, Andhra Pradesh - 500042",9849707272,airwellenerprises@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Anjani Enterprises,A.V.S. Murthy,"39-1-59, Labbipeta, MG Road, Vijayawada, Andhra Pradesh - 520010",9849122276,,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Bajaj Electronics,"Mr.Pavan Bajaj, Mr.Karan Bajaj","#16-2-705/6/9, Bassapoa Building, Beside Chermas, Main Road,, Malakpet, Hyderabad, Andhra Pradesh - 500036",9848018143,karan.bajaj@hotmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Balaji Refrigeration & Airconditioning Works,K.Chandra Sekhar,"16/24/35, Opp.Panchamukha Anjaneya, SwamyTmpl, Guntu, Sharoff bazar, Tenali, Andhra Pradesh - 522201",9704333649,,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Breeze N Freeze,G. V. V. Giri,"H no.1202-800/402 403, Near PVNR Express High way, Piller No.54, Rathi Bowli,, Mehdipatnam, Hyderabad, Andhra Pradesh - 500028",9848194945,"breeze_frz@yahoo.co.in, accounts@bnfindia.com","Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Breeze N Freeze Engg.,"G.Vishali, Srinivasu","12-1-18, Waltair Main Road, Besides Hotel Green Park,, Waltair Main Road, Visakhapatnam, Andhra Pradesh - 530002",,breeze_frzvja@yahoo.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Chill Air Con,Mr.T.Wilson Raj,"12-01-18, Beside Hotel Green Park, Waltair Main Road, Visakhapatnam, Andhra Pradesh - 530012",9848522999,chillaircon-123@yahoo.co.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Chill Air Engineering,D N N Ganesh,"Ground Floor Door No : 2/333 Sulochanamma Hospital Street, Nawabpet, Nawabpet, Nellore, Andhra Pradesh - 524002",9848522999,chillairengineering@gmail.com,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Comfort Cool Refrigerators & Air Conditioners,Shaik Mohammad Rafi,"Ground Floor Door No : 2/333 Sulochanamma Hospital Street, ,Nawabpet, Nellore, Andhra Pradesh - 524002",9246390220,comfortcooltenali,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Cool Air Systems,Mohd Abdul Hallem,"Plot No:1268/A,shop No.9c Road No:63/A, Panna Complex, Jubilee Hills Check Post,, Jubilee Hills, Hyderabad, Andhra Pradesh - 500003",9246390220,coolairsystems16@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Cool Comforts,Mr. Hohammed Faiyazuddin,"28/937, Shop No. 5, VBR Estate, Beside Surya International, Wahab Pet, Nellore, Andhra Pradesh - 524003",,faiyaz.coolcomforts@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Cool Concepts,,"Alla Bhavan,,, R.T.C. Complex Road, Anakapalle, Andhra Pradesh - 531001",,coolconcepts2014@gmail.com,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Cool Inc,Priti Jain / Ramakrishna,"Ground Floor, 6-3-788/A/9, Durganagar,, Ameerpet, Hyderabad, Andhra Pradesh - 500016",9441703935,coolinc1902@yahoo.in,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Cool Tech Enterprises & Services,,"2-4-533, (A.P.), Ram Gopalpet, Secunderabad, Andhra Pradesh - 500003",88855 35994,cooltechenterprises@Outlook.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
COOLMAX,,"27, Vijaya Nagar Colony, Picket, Secunderabad, Andhra Pradesh - 500026",91- 9603333359,cooltechengg2000@gmail.com.,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Cooltech Engineering,Shyam Prasad,"The High Way, 6-1-345, PADMA RAO NAGAR, Secunderabad,, Padma Rao Nagar, Hyderabad, Andhra Pradesh - 500025",91- 9603333359,cooltechengg2000@gmail.com.,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Divya Agencies,Mr. K. Narasimha Reddy,"22-11-83, K.K Arcade, Bose Road, Tenali, Andhra Pradesh",9849098858,divyaagencies.nlr@gmail.com,"Split AC, Cassette AC, Floor Standing, VRV, Ductable AC, Packaged AC"
Freeze Point,"Mr.Rama Chandra Rao Alla., Mr.A.V.Srinivas Rao","39-10-1, Anjnana Apartments, Labbipet, Vijayawada, Andhra Pradesh - 520010",,daikinakp@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Ganesh Marketing,G Ravi Kumar,"Shop no-15&amp;16, CVR Complex, Prakasam Road,, Governorpet , Vijayawada, Andhra Pradesh - 520002",,gmc.kadapa@gmail.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
Green Air Engineering,Kakarlapudi Uma Shankar,"# 52 -1-6, Old Resapuvanipalem,, Maddilapalam, Visakhapatnam, Andhra Pradesh - 530013",8333010676,greenairengineering@yahoo.com,"Split AC, Cassette AC, Floor Standing, Ductable AC, Packaged AC"
